Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Date,Qty,Customer,PC,Org,Type
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,561135.0,1.0,11-MAY-20,11-MAY-20,30-SEP-20,05-MAR-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562249.0,1.0,25-SEP-20,25-SEP-20,30-SEP-20,24-MAR-21,15-JAN-21,15-JAN-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562188.0,1.0,18-SEP-20,18-SEP-20,30-SEP-20,17-MAR-21,15-JAN-21,15-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562446.0,1.0,19-OCT-20,19-OCT-20,22-OCT-20,12-APR-21,05-FEB-21,05-FEB-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562345.0,1.0,07-OCT-20,07-OCT-20,07-DEC-20,05-APR-21,19-FEB-21,19-FEB-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562485.0,1.0,23-OCT-20,23-OCT-20,27-OCT-20,22-APR-21,19-FEB-21,19-FEB-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562542.0,1.0,29-OCT-20,29-OCT-20,03-NOV-20,30-APR-21,05-MAR-21,05-MAR-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562629.0,1.0,09-NOV-20,09-NOV-20,10-NOV-20,03-MAY-21,05-MAR-21,05-MAR-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562657.0,1.0,12-NOV-20,12-NOV-20,17-NOV-20,10-MAY-21,05-MAR-21,05-MAR-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,562752.0,1.0,23-NOV-20,23-NOV-20,24-NOV-20,19-MAY-21,19-MAR-21,19-MAR-21,6.0,"5,543.33","33,259.98","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT419599-AO,TANK ASY BOT 58.50,WLKIT,YTS-DOMESTIC,562884.0,2.0,11-DEC-20,11-DEC-20,11-DEC-20,15-JAN-21,20-JAN-21,20-JAN-21,1.0,0.00,0.00,213.32,130.31,,19.43,63.58,0.0,YOUNG TOUCHSTONE,200 SMITH LANE,P.O. BOX 7568,"Jackson,TN 38302-7568 - US",,,,,,,
YT419702-816,BANK SPACER 11.75 52.82 14G,SV,YTS-INTERNATIONAL,562024.0,1.0,28-AUG-20,28-AUG-20,07-DEC-20,23-MAR-21,22-JAN-21,22-JAN-21,20.0,13.60,272.00,11.07,7.50,,0.71,2.86,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT422714,GASKET 9.00 58.50 .062 METALTECH CS-830,RPD,YTS-DOMESTIC,562884.0,3.0,11-DEC-20,11-DEC-20,11-DEC-20,15-JAN-21,20-JAN-21,20-JAN-21,1.0,0.00,0.00,11.84,11.84,,,,,YOUNG TOUCHSTONE,200 SMITH LANE,P.O. BOX 7568,"Jackson,TN 38302-7568 - US",,,,,,,
YT423335-806,RAD ASY YTF 105 NABI SERVICE PAL CB BOX,3,YTS-DOMESTIC,561853.0,1.0,04-AUG-20,04-AUG-20,12-OCT-20,05-JAN-21,17-DEC-20,17-DEC-20,7.0,"2,670.00","18,690.00","1,686.70",643.66,,215.50,819.07,8.46,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT423335-806,RAD ASY YTF 105 NABI SERVICE PAL CB BOX,3,YTS-DOMESTIC,562074.0,1.0,03-SEP-20,03-SEP-20,10-SEP-20,04-FEB-21,28-JAN-21,28-JAN-21,8.0,"2,670.00","21,360.00","1,686.70",643.66,,215.50,819.07,8.46,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT423335-806,RAD ASY YTF 105 NABI SERVICE PAL CB BOX,3,YTS-DOMESTIC,562318.0,1.0,05-OCT-20,05-OCT-20,06-OCT-20,08-MAR-21,26-FEB-21,26-FEB-21,1.0,"2,670.00","2,670.00","1,686.70",643.66,,215.50,819.07,8.46,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT423335-806,RAD ASY YTF 105 NABI SERVICE PAL CB BOX,3,YTS-DOMESTIC,562553.0,1.0,30-OCT-20,30-OCT-20,03-NOV-20,02-APR-21,19-MAR-21,19-MAR-21,6.0,"2,670.00","16,020.00","1,686.70",643.66,,215.50,819.07,8.46,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT423335-806,RAD ASY YTF 105 NABI SERVICE PAL CB BOX,3,YTS-DOMESTIC,562571.0,1.0,03-NOV-20,03-NOV-20,05-NOV-20,06-APR-21,24-MAR-21,24-MAR-21,41.0,"2,670.00","109,470.00","1,686.70",643.66,,215.50,819.07,8.46,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT423507-803,CAT 795F SBRA 1013 MINING TRUCK ATAAC XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,561943.0,2.0,18-AUG-20,03-NOV-20,10-NOV-20,26-JAN-21,26-JAN-21,26-JAN-21,7.0,"9,741.00","78,281.00","6,588.41","4,191.53",,508.69,"1,888.19",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-803,CAT 793 CAC SBRA 0613 XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,558787.0,32.0,01-NOV-19,03-NOV-20,16-DEC-20,29-DEC-20,29-DEC-20,29-DEC-20,9.0,"6,145.00","63,225.00","4,767.02","3,084.86",,350.33,"1,331.83",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-803,CAT 793 CAC SBRA 0613 XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,562615.0,2.0,09-NOV-20,13-NOV-20,19-NOV-20,12-JAN-21,26-JAN-21,26-JAN-21,22.0,"6,145.00","154,550.00","4,767.02","3,084.86",,350.33,"1,331.83",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-803,CAT 793 CAC SBRA 0613 XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,562615.0,3.0,09-NOV-20,30-NOV-20,02-DEC-20,26-JAN-21,26-JAN-21,26-JAN-21,6.0,"6,145.00","42,150.00","4,767.02","3,084.86",,350.33,"1,331.83",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-803,CAT 793 CAC SBRA 0613 XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,562615.0,4.0,09-NOV-20,02-DEC-20,02-DEC-20,26-JAN-21,16-FEB-21,16-FEB-21,4.0,"6,145.00","28,100.00","4,767.02","3,084.86",,350.33,"1,331.83",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-803,CAT 793 CAC SBRA 0613 XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,562615.0,5.0,09-NOV-20,07-DEC-20,10-DEC-20,02-FEB-21,23-FEB-21,23-FEB-21,22.0,"6,145.00","154,550.00","4,767.02","3,084.86",,350.33,"1,331.83",0.0,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT425663-815,CAT 793 CAC SBRA 0613 RET RACK - FINAL ASSEMBLY,3,YTS-DOMESTIC,562454.0,2.0,20-OCT-20,27-OCT-20,09-NOV-20,08-JAN-21,08-JAN-21,08-JAN-21,4.0,"6,145.00","27,972.00","4,585.46","2,903.30",,350.33,"1,331.83",0.0,CATERPILLAR INC,27TH & HUBBARD AVE DT1308,GATE 3 DOCK 8,"Decatur,IL 62526 - US",,,,,,,
YT425663-815,CAT 793 CAC SBRA 0613 RET RACK - FINAL ASSEMBLY,3,YTS-DOMESTIC,562454.0,5.0,20-OCT-20,30-NOV-20,02-DEC-20,29-JAN-21,29-JAN-21,29-JAN-21,4.0,"6,145.00","27,972.00","4,585.46","2,903.30",,350.33,"1,331.83",0.0,CATERPILLAR INC,27TH & HUBBARD AVE DT1308,GATE 3 DOCK 8,"Decatur,IL 62526 - US",,,,,,,
YT425663-815,CAT 793 CAC SBRA 0613 RET RACK - FINAL ASSEMBLY,3,YTS-DOMESTIC,562454.0,6.0,20-OCT-20,03-DEC-20,09-DEC-20,10-FEB-21,10-FEB-21,10-FEB-21,4.0,"6,145.00","27,972.00","4,585.46","2,903.30",,350.33,"1,331.83",0.0,CATERPILLAR INC,27TH & HUBBARD AVE DT1308,GATE 3 DOCK 8,"Decatur,IL 62526 - US",,,,,,,
YT426744-AB-803,CORE SBRA 1015 - SC 67.17 55.15 XP CRATE,3,YTS-DOMESTIC,562829.0,1.0,03-DEC-20,03-DEC-20,14-DEC-20,09-FEB-21,09-FEB-21,09-FEB-21,2.0,"10,532.00","21,140.00","5,927.79","4,139.57",,369.80,"1,418.41",,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",,,,,,,
YT427638-806,NABI RAD YTF 106 - PAL CB BOX,3,YTS-DOMESTIC,562318.0,2.0,05-OCT-20,17-DEC-20,17-DEC-20,28-DEC-20,18-DEC-20,18-DEC-20,3.0,"3,015.00","9,045.00","1,806.40",735.86,,223.07,847.47,0.0,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT427638-806,NABI RAD YTF 106 - PAL CB BOX,3,YTS-DOMESTIC,562318.0,2.0,05-OCT-20,08-DEC-20,17-DEC-20,28-DEC-20,18-DEC-20,18-DEC-20,3.0,"3,015.00","9,045.00","1,806.40",735.86,,223.07,847.47,0.0,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT427638-806,NABI RAD YTF 106 - PAL CB BOX,3,YTS-DOMESTIC,562318.0,2.0,05-OCT-20,17-DEC-20,17-DEC-20,28-DEC-20,18-DEC-20,18-DEC-20,2.0,"3,015.00","6,030.00","1,806.40",735.86,,223.07,847.47,0.0,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT427638-806,NABI RAD YTF 106 - PAL CB BOX,3,YTS-DOMESTIC,562491.0,1.0,26-OCT-20,26-OCT-20,27-OCT-20,18-JAN-21,26-JAN-21,26-JAN-21,12.0,"3,015.00","36,180.00","1,806.40",735.86,,223.07,847.47,0.0,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT427638-806,NABI RAD YTF 106 - PAL CB BOX,3,YTS-DOMESTIC,562875.0,1.0,10-DEC-20,10-DEC-20,15-DEC-20,04-MAR-21,03-MAR-21,03-MAR-21,2.0,"3,015.00","6,030.00","1,806.40",735.86,,223.07,847.47,0.0,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS NJ2 EAST BRUNSWICK DISTRIBUTION CTR,35 COTTERS LN #D,"East Brunswick,NJ 08816 - US",,,,,,,
YT431243-805,EMD BANK AXB 106 LH STD PAL/PLY 9333554 - FINAL ASSEMBLY,3,YTS-DOMESTIC,562421.0,1.0,16-OCT-20,16-OCT-20,27-OCT-20,12-FEB-21,09-FEB-21,09-FEB-21,6.0,"13,440.00","80,640.00","8,413.78","5,121.91",,681.15,"2,610.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT431243-805,EMD BANK AXB 106 LH STD PAL/PLY 9333554 - FINAL ASSEMBLY,3,YTS-DOMESTIC,562923.0,1.0,15-DEC-20,15-DEC-20,17-DEC-20,13-APR-21,08-APR-21,08-APR-21,1.0,"12,975.20","12,975.20","8,413.78","5,121.91",,681.15,"2,610.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT431244-805,EMD BANK AXB 106 RH STD PAL/PLY 9333553 - FINAL ASSEMBLY,3,YTS-DOMESTIC,562420.0,1.0,16-OCT-20,16-OCT-20,24-NOV-20,19-JAN-21,15-JAN-21,15-JAN-21,6.0,"13,440.00","80,640.00","8,413.78","5,121.91",,681.15,"2,610.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT431244-805,EMD BANK AXB 106 RH STD PAL/PLY 9333553 - FINAL ASSEMBLY,3,YTS-DOMESTIC,562922.0,1.0,15-DEC-20,15-DEC-20,17-DEC-20,08-MAR-21,03-MAR-21,03-MAR-21,1.0,"13,440.00","13,440.00","8,413.78","5,121.91",,681.15,"2,610.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT431376-810,EMD GT46AC RH BANK AFRICA AXB 106 AXB 114 - XP PAL/PLY FINAL ASSEMBLY 40188400,3,YTS-DOMESTIC,562504.0,1.0,26-OCT-20,26-OCT-20,27-OCT-20,11-FEB-21,05-FEB-21,05-FEB-21,2.0,"10,130.00","27,368.00","12,024.75","7,475.08",,965.95,"3,583.72",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT431377-810,EMD GT46AC LH BANK AFRICA AXB 106 AXB 114 - XP PAL/PLY FINAL ASSEMBLY 40188398,3,YTS-DOMESTIC,562562.0,1.0,02-NOV-20,02-NOV-20,23-NOV-20,12-FEB-21,12-FEB-21,12-FEB-21,2.0,"10,130.00","27,368.00","12,024.75","7,475.08",,965.95,"3,583.72",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561879.0,1.0,07-AUG-20,07-AUG-20,17-NOV-20,22-DEC-20,18-DEC-20,18-DEC-20,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561809.0,1.0,29-JUL-20,29-JUL-20,30-OCT-20,06-JAN-21,29-DEC-20,29-DEC-20,1.0,"9,245.00","12,241.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561992.0,1.0,26-AUG-20,26-AUG-20,01-DEC-20,27-JAN-21,22-JAN-21,22-JAN-21,4.0,"9,245.00","48,964.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561159.0,1.0,12-MAY-20,12-MAY-20,01-DEC-20,22-JAN-21,22-JAN-21,22-JAN-21,4.0,"9,245.00","48,964.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-INTERNATIONAL,562804.0,1.0,01-DEC-20,01-DEC-20,01-DEC-20,26-JAN-21,22-JAN-21,22-JAN-21,6.0,"9,245.00","73,446.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435067-805,EMD GT42AC PERU LH BANK 40213511 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561158.0,1.0,12-MAY-20,12-MAY-20,01-DEC-20,01-MAR-21,19-MAR-21,19-MAR-21,10.0,"9,245.00","122,410.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561878.0,1.0,07-AUG-20,07-AUG-20,17-NOV-20,22-DEC-20,18-DEC-20,18-DEC-20,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561966.0,1.0,21-AUG-20,21-AUG-20,01-DEC-20,22-JAN-21,15-JAN-21,15-JAN-21,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,561995.0,1.0,26-AUG-20,26-AUG-20,01-OCT-20,27-JAN-21,22-JAN-21,22-JAN-21,4.0,"9,245.00","48,964.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562034.0,2.0,01-SEP-20,19-NOV-20,19-NOV-20,04-FEB-21,29-JAN-21,29-JAN-21,1.0,"9,245.00","12,241.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562078.0,1.0,04-SEP-20,04-SEP-20,01-DEC-20,05-FEB-21,01-FEB-21,01-FEB-21,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562083.0,1.0,04-SEP-20,04-SEP-20,01-DEC-20,05-FEB-21,01-FEB-21,01-FEB-21,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562081.0,1.0,04-SEP-20,04-SEP-20,01-DEC-20,05-FEB-21,01-FEB-21,01-FEB-21,4.0,"9,245.00","48,964.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562080.0,1.0,04-SEP-20,04-SEP-20,01-DEC-20,05-FEB-21,01-FEB-21,01-FEB-21,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562079.0,1.0,04-SEP-20,04-SEP-20,01-DEC-20,05-FEB-21,01-FEB-21,01-FEB-21,3.0,"9,245.00","36,723.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562034.0,1.0,01-SEP-20,01-SEP-20,01-OCT-20,10-FEB-21,05-FEB-21,05-FEB-21,1.0,"9,245.00","12,241.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562105.0,1.0,09-SEP-20,09-SEP-20,01-DEC-20,10-FEB-21,05-FEB-21,05-FEB-21,1.0,"9,245.00","12,241.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,BLVD ANTONIO ROCHA CORDERO #300,COL EL AGUAJE,"SAN LUIS POTOSI,SAN LUIS POTOSI 78380 - MX",,,,,,,
YT435068-805,EMD GT42AC PERU RH BANK 40213506 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562281.0,1.0,30-SEP-20,30-SEP-20,01-OCT-20,10-MAR-21,05-MAR-21,05-MAR-21,1.0,"9,245.00","12,241.00","10,612.30","6,334.28",,906.93,"3,371.09",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
